date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:01	9372/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/top/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/top/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
12:01:01	2601/2601	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:30:03%20GMT	http://www.cplusplus.com/reference/new.cgi?a=iostream+stringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/newd5c5.html	(from http://www.cplusplus.com/reference/)
12:01:02	9544/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/push/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/push/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
12:01:02	9610/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/pop/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/pop/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
12:01:03	9767/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/queue/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/queue/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
12:01:03	9067/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/empty/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/empty/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
12:01:03	2618/2618	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:30:05%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=iostream+stringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/editd5c5.html	(from http://www.cplusplus.com/reference/)
12:01:03	8998/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/size/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/size/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
12:01:04	9364/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/front/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/front/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
12:01:04	1425/1425	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Nov%202012%2006:30:06%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=iostream+stringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/delete.bdd5c5.delayed	(from http://www.cplusplus.com/reference/)
12:01:04	9247/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/back/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/back/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
12:01:05	9302/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/queue/push/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/queue/push/index.html	(from http://www.cplusplus.com/reference/stl/queue/)
